,mwd_nom,mwd_nom_GDP,mwd_tips,mwd_tips_GDP,mwd_agg,mwd_agg_GDP,debt_nom,debt_nom_GDP,debt_tips,debt_tips_GDP,debt_agg,debt_agg_GDP,mat_nom,mat_tips,mat_agg
1999-01-31,33956169.698125,3.6078747346250095,3667332.1974340724,0.3896574700923884,37623501.89555907,3.997532204717398,5336555.775,0.5670140337295712,243728.2378521155,0.025896352835987804,5580284.012852116,0.5929103865655589,6.362937281982215,15.046808813590415,6.742219895780803
1999-02-28,34344836.05125,3.634487955335041,3647021.510946396,0.3859402832671275,37991857.5621964,4.020428238602168,5312105.41,0.5621451533879844,243728.2378521155,0.025792155290149,5555833.647852115,0.5879373086781334,6.465390537355696,14.96347548025708,6.8381920644589576
1999-03-31,34024311.703541666,3.5860815875236933,3626710.824458719,0.38224670124658233,37651022.528000385,3.9683282887702758,5316734.570625001,0.5603711873908196,243728.2378521155,0.025688376997501084,5560462.808477116,0.5860595643883206,6.39947532674026,14.880142146923745,6.771203014000941
1999-04-30,33774201.114322916,3.5453974995641473,6894510.553721167,0.7237411891739925,40668711.66804408,4.26913868873814,5271654.901875,0.5533842841880464,379426.68859597156,0.03982976321075981,5651081.590470972,0.5932140473988062,6.406754945645294,18.17086346570289,7.196624401357242
1999-05-31,33942615.18604167,3.5432980817223907,6862891.663004837,0.716423019596725,40805506.849046506,4.259721101319116,5264081.798125001,0.5495219161838913,379426.68859597156,0.03960867041291668,5643508.486720972,0.5891305865968081,6.447964998973154,18.087530132369558,7.230521039360674
1999-06-30,33616078.45911458,3.489731205928493,6831272.772288505,0.7091637948983045,40447351.23140308,4.198895000826798,5245531.195625,0.5445457871389711,379426.68859597156,0.03938880488888382,5624957.884220971,0.5839345920278549,6.408517499076519,18.004196799036222,7.190694057437346
1999-07-31,33336039.74697917,3.4414500721901753,6799653.881572174,0.701963086173884,40135693.62855134,4.143413158364059,5289374.929375,0.546049256921348,377902.6392307884,0.03901282440663953,5667277.568605789,0.5850620813279875,6.302453539801951,17.99313679156278,7.0820059795351
1999-08-31,34133809.44765625,3.498287801049826,6768161.994969608,0.6936518052237788,40901971.44262586,4.191939606273605,5355042.2631250005,0.5488247378870497,377902.6392307884,0.03873028572544441,5732944.902355789,0.5875550236124941,6.374143801385621,17.909803458229444,7.1345481492100795
1999-09-30,33804173.89447916,3.4394136535732946,6736670.108367043,0.6854240906067759,40540844.002846204,4.124837744180071,5290928.945625,0.5383268146848811,377902.6392307884,0.038449793245917234,5668831.584855788,0.5767766079307983,6.389081055876094,17.82647012489611,7.151534385172168
1999-10-31,33500228.561510418,3.383803706937768,6705178.221764477,0.6772791678368792,40205406.7832749,4.061082874774647,5308313.02875,0.5361840821858691,376601.7684045689,0.0380399332985698,5684914.797154568,0.5742240154844389,6.3108992216683655,17.804425747043652,7.072297161498117
1999-11-30,34349903.57369791,3.4577923510729662,6673794.741064097,0.6718096415837517,41023698.314762,4.129601992656718,5310557.116875,0.5345809410867481,376601.7684045689,0.0379101708799843,5687158.885279569,0.5724911119667324,6.468229757768075,17.72109241371032,7.213390577313784
1999-12-31,33999370.14729166,3.4108314115900042,6642411.260363715,0.6663695497121573,40641781.40765537,4.077200961302162,5292330.276875,0.5309288457601622,376601.7684045689,0.037780851109001236,5668932.045279569,0.5687096968691634,6.424272176635111,17.637759080376984,7.169213016320622
2000-01-31,33676437.289843746,3.3669100792781,6835361.965691113,0.6833872864793874,40511799.25553486,4.050297365757487,5208979.2,0.5207844410702908,400704.04903141066,0.04006167546405745,5609683.249031411,0.5608461165343482,6.46507424906664,17.05838007430591,7.221762345053935
2000-02-29,33673116.577343754,3.339472068655704,6801969.961605162,0.6745733988251877,40475086.538948916,4.014045467480892,5167713.114375,0.5124988524493272,400704.04903141066,0.03973911878527991,5568417.16340641,0.5522379712346072,6.516057651047893,16.975046740972576,7.26868791457226
2000-03-31,33381499.77614583,3.283896572220757,6768577.95751921,0.6658571395102437,40150077.73366504,3.9497537117310006,5191398.861875,0.5107025460768673,400704.04903141066,0.03941915917239701,5592102.910906411,0.5501217052492643,6.430155082341195,16.891713407639237,7.179781626579045
2000-04-30,33025330.894947913,3.2227003562692915,6735185.95343326,0.6572375078001025,39760516.84838118,3.879937864069394,5037643.87,0.49158679881964035,399379.2025835426,0.0389724936457615,5437023.072583543,0.5305592924654019,6.555709722082421,16.86413791670683,7.312920382640188
